Date,Open,High,Low,Close,Volume,Adj Close
2014-06-27,25.60,25.70,25.20,25.35,6000,25.35
2014-06-26,25.60,25.75,25.60,25.75,5100,25.75
2014-06-25,25.60,25.60,25.60,25.60,300,25.60
2014-06-24,25.75,26.00,25.75,25.90,13500,25.90
2014-06-23,25.80,26.00,25.70,25.85,13800,25.85
2014-06-20,25.90,25.95,25.75,25.80,88500,25.80
2014-06-19,25.30,25.85,25.30,25.70,30000,25.70
2014-06-18,24.95,24.95,24.90,24.95,2100,24.95
2014-06-17,24.85,24.85,24.75,24.75,2100,24.75
2014-06-16,25.15,25.15,24.95,24.95,900,24.95
2014-06-13,24.85,25.40,24.70,25.20,20700,25.20
2014-06-12,25.00,25.85,24.95,25.45,3300,25.45
2014-06-11,25.35,25.45,25.30,25.45,4800,25.45
2014-06-10,25.85,25.85,25.70,25.80,31500,25.80
2014-06-09,26.00,26.15,25.75,25.85,9000,25.85
2014-06-06,25.90,25.90,25.60,25.60,13200,25.60
2014-06-05,25.55,25.85,25.55,25.75,17400,25.75
2014-06-04,25.80,25.80,25.55,25.55,3600,25.55
2014-06-03,25.60,26.15,25.60,26.10,81900,26.10
2014-06-02,25.30,25.30,25.30,25.30,000,25.30
2014-05-30,25.50,25.55,25.50,25.30,3600,25.30
2014-05-29,25.20,25.40,25.15,25.25,15000,25.25
2014-05-28,25.20,25.40,25.20,25.25,56400,25.25
2014-05-27,25.15,25.50,25.15,25.35,114600,25.35
2014-05-26,25.10,25.30,25.00,25.00,32200,25.00
2014-05-23,24.50,24.85,24.50,24.65,8400,24.65
2014-05-22,24.00,24.40,24.00,24.30,32700,24.30
2014-05-21,24.00,24.00,23.55,23.70,13800,23.70
2014-05-20,24.00,24.10,23.90,24.00,11400,24.00
2014-05-19,23.85,23.85,23.35,23.70,97200,23.70
2014-05-16,23.50,23.80,23.50,23.80,43500,23.80
2014-05-15,23.75,23.95,23.75,23.90,9600,23.90
2014-05-14,24.70,24.70,24.15,24.15,10800,24.15
2014-05-13,24.05,24.35,24.05,24.30,11100,24.30
2014-05-12,23.55,23.55,23.50,23.55,13200,23.55
2014-05-09,23.60,23.85,23.60,23.60,5100,23.60
2014-05-08,23.55,23.85,23.55,23.60,20400,23.60
2014-05-07,23.55,23.70,23.25,23.30,15900,23.30
2014-05-06,23.05,23.05,23.05,23.05,000,23.05
2014-05-05,24.00,24.00,23.05,23.05,3900,23.05
2014-05-02,23.45,24.00,23.45,23.95,15900,23.95
2014-05-01,23.45,23.45,23.45,23.45,000,23.45
2014-04-30,23.95,23.95,23.45,23.45,17700,23.45
2014-04-29,24.00,24.05,23.85,24.00,33300,24.00
2014-04-28,24.05,24.30,23.90,23.95,22800,23.95
2014-04-25,24.95,24.95,24.30,24.40,25800,24.40
2014-04-24,24.80,24.80,24.50,24.55,19200,24.55
2014-04-23,24.60,24.90,24.60,24.90,83400,24.90
2014-04-22,24.90,25.10,24.50,24.65,12600,24.65
2014-04-21,24.85,24.85,24.85,24.85,000,24.85
2014-04-18,24.85,24.85,24.85,24.85,000,24.85
2014-04-17,25.20,25.40,24.85,24.85,29100,24.85
2014-04-16,24.90,25.35,24.90,25.30,17100,25.30
2014-04-15,25.00,25.65,24.45,24.50,53700,24.50
2014-04-14,25.00,25.00,24.50,24.70,81900,24.70
2014-04-11,26.40,26.40,24.95,25.70,669900,25.70
2014-04-10,28.00,28.00,27.60,27.60,40800,27.60
2014-04-09,28.10,28.15,28.05,28.15,54600,28.15
2014-04-08,28.60,28.80,28.30,28.30,105300,28.30
2014-04-07,28.50,28.50,27.90,27.95,13500,27.95
2014-04-04,28.45,28.55,28.25,28.55,62100,28.55
2014-04-03,28.10,28.60,28.10,28.20,35100,28.20
2014-04-02,28.00,28.10,27.80,28.10,170400,28.10
2014-04-01,27.65,28.05,27.50,27.55,29900,27.55
2014-03-31,28.90,28.90,27.80,28.10,36900,28.10
2014-03-28,28.20,28.75,28.20,28.45,139200,28.45
2014-03-27,27.00,28.20,26.90,27.70,129300,27.70
2014-03-26,27.20,27.30,26.80,26.90,54100,26.90
2014-03-25,27.15,27.35,26.75,27.05,203100,27.05
2014-03-24,26.80,27.40,26.75,27.05,149100,27.05
2014-03-21,26.95,26.95,26.70,26.85,108800,26.85
2014-03-20,27.00,27.85,26.65,26.95,76800,26.95
2014-03-19,27.10,27.90,26.50,27.70,140400,27.70
2014-03-18,27.40,27.40,27.05,27.05,72300,27.05
2014-03-17,27.20,27.60,27.00,27.20,55500,27.20
2014-03-14,27.20,27.50,26.95,27.05,214800,27.05
2014-03-13,27.75,28.00,27.05,27.45,115500,27.45
2014-03-12,28.35,28.35,27.40,27.75,441600,27.75
2014-03-11,28.75,28.90,28.35,28.60,141000,28.60
2014-03-10,28.85,29.00,28.35,28.45,287700,28.45
2014-03-07,29.50,30.00,28.85,28.95,818700,28.95
2014-03-06,28.95,29.50,28.20,29.40,1449900,29.40
